title,description,ms.service
 Azure 上的应用程序体系结构 | Azure, 包括常见设计模式的体系结构概述, multiple
 上载 Azure Management API 证书 | Azure, 了解如何为 Azure 经典管理门户上载 Management API 证书。, na
 资源管理器和服务管理（经典）部署模型 | Azure, 了解资源管理器与经典部署模型之间的差异。, virtual-network
 Azure 诊断故障排除 | Azure, 排查在 Azure 虚拟机、Service Fabric 或云服务中使用 Azure 诊断时遇到的问题。, monitoring-and-diagnostics
 Azure 诊断概述, 使用 Azure 诊断在云服务、虚拟机和 Service Fabric 中进行调试、性能度量、监视和流量分析, multiple
 Azure 词汇表 - Azure 字典 | Azure, 使用 Azure 词汇表来理解 Azure 平台上的云术语。这份简短的 Azure 字典提供 Azure 通用云术语的定义。, multiple
  Azure 门户概述, 了解如何使用 Azure 门户。, na
 支持的浏览器和设备, 支持的浏览器和设备, multiple
 Azure 订阅限制和配额 | Microsoft Docs, 提供常见的 Azure 订阅和服务限制、配额和约束的列表。 这包括有关如何增加限制以及最大值的信息。, billing
 Azure 项目属性, 介绍 Azure Toolkit for Eclipse 中的 Azure 项目属性设置。, multiple
 Azure 角色属性, 了解如何使用 Azure Toolkit for Eclipse 来配置 Azure 角色设置。, multiple
 Azure 服务终结点, 介绍 Azure Toolkit for Eclipse 中的 Azure 服务终结点设置。, multiple
 Azure 存储帐户列表, 使用 Azure Toolkit for Eclipse 管理存储帐户设置, multiple
 在 Eclipse 中创建 Azure 的 Hello World 云服务, 了解如何使用 Azure Toolkit for Eclipse 创建一个简单的 Hello World 应用程序。, multiple
 在 Eclipse 中调试 Azure 应用程序, 了解如何使用 Azure Toolkit for Eclipse 调试 Azure 应用程序。, multiple
 实施大型部署, 了解如何使用 Azure Toolkit for Eclipse 实施大型部署。, multiple
 在 Eclipse 中显示 Azure Libraries Package for Java 的 Javadoc 内容, 如何在 Eclipse 中显示 Azure Libraries 的 Javadoc 内容。, multiple
 使用 Azure Toolkit for Eclipse 启用会话相关性, 了解如何使用 Azure Toolkit for Eclipse 启用会话相关性。, multiple
 在 Eclipse 中为 Azure 部署启用远程访问, 了解如何使用 Azure Toolkit for Eclipse 为 Azure 部署启用远程访问。, multiple
 安装 Azure Toolkit for Eclipse | Azure, 了解如何安装 Azure Toolkit for Eclipse。, multiple
 Azure Toolkit for Eclipse 的新增功能, 了解 Azure Toolkit for Eclipse 中的最新功能。, multiple
 Azure Toolkit for Eclipse | Azure, 了解 Azure Toolkit for Eclipse。, multiple
 安装 Azure Toolkit for IntelliJ | Azure, 了解如何安装 Azure Toolkit for IntelliJ IDEA。, multiple
 适用于 IntelliJ 的 Azure 工具包的新增功能 | Azure, 了解 Azure Toolkit for IntelliJ 中的最新功能。, multiple
 Azure Toolkit for IntelliJ | Azure, 了解 Azure Toolkit for IntelliJ。, multiple
 可用性清单 | Azure, 为设计过程中的可用性考虑因素提供指导的核对清单。, best-practice
 缓存指南 | Azure, 有关配置缓存以提高性能和可缩放性的指南。, best-practice
 数据分区指南 | Azure, 有关如何隔离分区，以便单独进行管理和访问的指导。, best-practice
 监视和诊断指南 | Azure, 有关在云中监视分布式应用程序的最佳实践。, best-practice
 可缩放性清单 | Azure, Azure 自动缩放设计注意事项：可伸缩性清单指南。, best-practice
 了解你的帐单 | Azure, 了解如何阅读并理解 Azure 订阅的使用情况和计费, billing
 安装 Azure CLI 1.0 | Azure, 安装适用于 Mac、Linux 和 Windows 的 Azure CLI 1.0 即可使用 Azure 服务, multiple
 PHP Web 角色和辅助角色 | Azure, 有关如何在 Azure 云服务中创建 PHP Web 角色和辅助角色以及配置 PHP 运行时的指南。, cloud-services
 多租户 Web 应用模式 | Azure, 查找介绍如何在 Azure 中实现多租户 Web 应用的体系结构概述和设计模式。, active-directory
 什么是 Azure .NET SDK, 了解 Azure .NET SDK 中包含的内容。, multiple
 Azure 简介 | Azure, 是 Azure 的新手？ 获取有关所提供服务的基本概述，以及用法示例。, multiple
 将证书添加到 Java CA 存储 | Azure, 了解如何将证书颁发机构 (CA) 证书添加到 Twilio 服务或 Azure 服务总线的 Java CA 证书 (cacerts) 存储。, multiple
 下载适用于 Java 的 Azure SDK | Azure, 了解如何使用针对 Maven 项目提供的示例代码下载适用于 Java 的 Azure SDK。, multiple
 指定 Node.js 版本, 了解如何指定 Azure 网站和云服务使用的 Node.js 版本, multiple
 使用 Node.js 模块, 了解如何在使用 Azure App Service 或云服务的同时使用 Node.js 模块。, multiple
