case.title,case.productName,ms.service
远程连接问题,Virtual Machine running Windows,virtual-machines
附加磁盘问题,Virtual Machine running Linux,virtual-machines
需要扩展Linxu虚拟机系统磁盘,Virtual Machine running Linux,virtual-machines
管理员权限咨询,Virtual Machine running Linux,virtual-machines
RCA for SR_2017080101286,Virtual Machine running Linux,virtual-machines
请帮忙提供RCA,Virtual Machine running Linux,virtual-machines
无法远程连接,Virtual Machine running Linux,virtual-machines
VM无法重启,Virtual Machine running Windows,virtual-machines
不能连接远程云服务器,Virtual Machine running Windows,virtual-machines
虚机CPU相关问题,Virtual Machine running Linux,virtual-machines
SSH 断连,Management portal,azure-portal
查看用户登录服务器操作问题,Virtual Machine running Linux,virtual-machines
升级维护问题,Virtual Machine running Linux,virtual-machines
Ubuntu 16.04 安装vsftp后，内网可以正常访问，外网不能正常访问。,Virtual Machine running Linux,virtual-machines
Azure linux系统下的 lvm存储咨询,Virtual Machine running Linux,virtual-machines
VM问题咨询,Virtual Machine running Linux,virtual-machines
设置Linux系统下最大文件打开数 出错,Virtual Machine running Linux,virtual-machines
虚拟机的磁盘容量配置,Virtual Machine running Linux,virtual-machines
RCA,Virtual Machine running Linux,virtual-machines
服务器整体迁移,Virtual Machine running Linux,virtual-machines
虚拟机反应缓慢,Virtual Machine running Windows,virtual-machines
虚拟机无法远程登录,Virtual Machine running Windows,virtual-machines
CLI命令咨询,Virtual Machine running Linux,virtual-machines
无法ssh到linux主机,Virtual Machine running Linux,virtual-machines
虚拟机无法连接,Virtual Machine running Linux,virtual-machines
虚拟机底层硬件芯片体系结构,Virtual Machine running Linux,virtual-machines
批量更改Linux VM时区,Virtual Machine running Linux,virtual-machines
VM密码忘记,Virtual Machine running Windows,virtual-machines
无法远程登录VM,Virtual Machine running Windows,virtual-machines
Ubuntu增大硬盘,Virtual Machine running Linux,virtual-machines
内网eth0网卡关掉了,Virtual Machine running Linux,virtual-machines
虚拟机无法访问,Virtual Machine running Windows,virtual-machines
虚拟机数据丢失问题,Virtual Machine running Windows,virtual-machines
无法连接虚拟机,Virtual Machine running Linux,virtual-machines
远程无法连接,Virtual Machine running Windows,virtual-machines
不小心禁止服务器本地连接 重启后无法连接服务器,Virtual Machine running Windows,virtual-machines
VM-Linux服务器远程连接不上,Virtual Machine running Linux,virtual-machines
安装lamp加载失败,Virtual Machine running Linux,virtual-machines
无法删除虚拟机,Virtual Machine running Windows,virtual-machines
Linux创建后无操作系统,Virtual Machine running Linux,virtual-machines
无法连接VM,Virtual Network,virtual-network
北京区域2台linxu服务异常，无法ssh,Virtual Machine running Linux,virtual-machines
服务器挂了，不能连接,Virtual Machine running Linux,virtual-machines
 新门户中的CentOS镜像在哪儿可以找到,Virtual Machine running Linux,virtual-machines
centos OS盘扩容,Virtual Machine running Linux,virtual-machines
 虚拟机无法重启,Virtual Machine running Linux,virtual-machines
