title,description,ms.service
 如何添加或更改 Azure 管理员订阅角色 , 描述如何添加或更改 Azure 共同管理员、服务管理员和帐户管理员。,billing
 无法登陆Azure账号 , 本文将介绍当您发生”无法登陆Azure账号”的解决方案。,billing
 Azure 计费企业 API , 了解使 Azure 企业协议客户能够以编程方式提取消耗数据的报告 API。,billing
 查看企业协议订阅, 如何在多个目录间导航以查看企业协议订阅。,billing
 下载使用量报告 , 了解如何下载企业协议客户使用量报告。,billing
 申请中国税务发票 , 线上购买的用户可在付款后的3天向世纪互联提出开立中国税务发票的申请。本文将介绍发票系统的注册流程与申请发票的具体操作。,billing
 下载月度使用量报告 , 本文将介绍下载使用量报告的具体操作流程。,billing
 防止意外成本，管理计费 , 本文介绍用户如何在使用前评估Azure费用、并在使用过程中了解实际花费。,billing
 企业协议客户取消Azure订阅 , 介绍企业协议客户如何取消Azure订阅。,billing
 变更Azure订阅名称与账户联系方式 , 本文将介绍变更Azure订阅名称与账户联系方式的具体操作步骤。,billing
 Azure 门户或 Azure 帐户中心时出现“找不到任何订阅”错误 , 提供针对登录 Azure 门户或 Azure 帐户中心时出现“找不到任何订阅”错误这一问题的解决方案。,billing
 通过第三方在线支付购买Azure订阅 , 目前中国区 Azure 支持三种支付方式：支付宝、银联在线、电汇。其中支付宝、银联在线为第三方在线支付方式。您可根据需要选择合适的支付方式。,billing
 通过电汇支付标准预付费订阅 , 本文将介绍通过电汇支付标准预付费订阅的具体操作步骤。,billing
 为标准预付费订阅续费充值 , 本文将介绍为标准预付费订阅续费充值的具体操作步骤。,billing
 企业门户中的角色 , 本文描述企业门户中使用到的5种管理角色。,billing
 注册标准预付费订阅 , 本文将介绍注册标准预付费订阅的具体操作流程。,billing
 注册1元试用订阅 , 本文将介绍注册1元试用订阅的具体操作流程。,billing
 重新激活禁用的Azure订阅 , 说明何时会禁用用户的Azure订阅，以及如何重新激活它。,billing
 将Azure企业协议订阅所有权转让给其他帐户 , 介绍如何将Azure企业协议订阅转让给其他用户，以及有关转让过程的一些常见问题 (FAQ),billing
 Azure线上注册的常见问题 , 针对注册Azure的过程中常遇到的问题提供了解决方案。,billing
 解读月度使用量报告 , 了解企业协议客户使用量报告中的字段与内容。,billing
 看懂月度使用量报告 , 本文将介绍如何解读Azure月度使用量报告。,billing
 1元试用订阅升级到标准预付费订阅 , 本文将介绍1元试用订阅升级标准预付费订阅的具体操作步骤。,billing
 将 1 元试用订阅或标准预付费订阅升级到企业协议订阅 , 本文将介绍将 1 元试用订阅或标准预付费订阅升级到企业协议订阅的具体操作步骤。,billing
 通过 Office 365 帐户购买 Azure 订阅 , 了解如何使用 Office 365 帐户购买 Azure 订阅。,billing
 Azure China CDN API doc- preload, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc- purge, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc- create endpoint, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-delete endpoint, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-dsiable endpoint, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-enable endpoint, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-access control, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-cache policy, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-get bandwidth, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-get usage, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-get endpoint, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc- get operation, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-get subscription usage, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-get all endpoints under subscription, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-preload, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-purge, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-signature, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-update access control, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-update cache policy, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc-update endpoint, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure China CDN API doc, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 Azure CDN FAQ - Azure feature guide, Find answers to service configuration related to Azure CDN,cdn
 Azure CDN FAQ - Azure feature guide, Find answers to common service consulting or inquiries related to Azure CDN,cdn
 Azure CDN FAQ - Azure feature guide, Find answers to common service consulting or inquiries related to Azure CDN,cdn
 How to create Download acceleration type CDN - Azure feature guide, Learn How to create Download acceleration type CDN on Azure Management Portal and default caching rules for Download CDN,cdn
 How to create Live Streaming acceleration type CDN - Azure feature guide, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN,cdn
 How to create VOD acceleration type CDN - Azure feature guide, Learn How to create VOD acceleration type CDN on Azure Management Portal and default caching rules for VOD CDN,cdn
 How to create Web acceleration type CDN - Azure feature guide, Learn How to create Web acceleration type CDN on Azure Management Portal and default caching rules for Web CDN,cdn
 How to use CDN - Azure feature guide, Learn how to use the Azure Content Delivery Network (CDN) to deliver high-bandwidth content by caching blobs and static content.,cdn
 Azure CDN HTTPS加速服务-客供证书, 开通客户自有证书的HTTPS加速的说明和步骤,cdn
 How to use CDN - HTTPS, Learn how to create HTTPS CDN acceleration type.,cdn
 Azure China CDN image processing, Learn how to use advanced features of Azure CDN management portal to manage CDN endpoint,cdn
 How to useAzure CDN Management Portal advanced features - Azure feature guide, Learn how to use advanced features of Azure CDN management portal to manage CDN endpoint,cdn
 Azure CDN Management Portal new version guide, Learn how to use advanced features of Azure CDN management portal to manage CDN endpoint,cdn
 Overview of Azure CDN in China - Azure feature guide," Learn the overview of Azure CDN, advantages, typical scenarios and key features.",cdn
 Azure CDN POP - Azure feature guide, Learn Azure CDN Point of Presence in China,cdn
 Overview of Azure CDN in China - Azure feature guide," Learn the overview of Azure CDN, advantages, typical scenarios and key features.",cdn
 Azure 开发人员中心： Azure IoT, Azure 开发人员中心： Azure IoT,iot-hub
 Azure 开发人员中心：Media Services, Azure 开发人员中心：Media Services,media-services
 Azure 开发人员中心：Azure IoT, Azure 开发人员中心：Azure IoT,iot-hub
 移动服务-Android - Azure 微软云, 移动服务-Android - Azure 微软云,mobile-services
 移动服务-iOS - Azure 微软云, 移动服务-iOS - Azure 微软云,mobile-services
 移动服务-Windows - Azure 微软云, 移动服务-Windows - Azure 微软云,mobile-services
 移动服务-xamarin - Azure 微软云, 移动服务-xamarin - Azure 微软云,mobile-services
 定制MySQL Database on Azure服务器参数," MySQL 数据库 on Azure支持您根据需求定制化服务器部分参数,帮您了解不同参数的设置范围和区间。",mysql
 通过API更新MySQL Database on Azure服务器以便允许Azure服务进行访问, 本文介绍如何通过API更新MySQL Database on Azure服务器，以便允许其它Azure服务对其进行访问。,mysql
 通过API修改MySQL Database on Azure用户登录密码, 本文介绍如何通过API修改MySQL Database on Azure的用户登录密码。,mysql
 通过API创建MySQL Database on Azure备份, 本文介绍如何通过API创建MySQL Database on Azure的备份。,mysql
 通过API创建MySQL Database on Azure数据库, 本文介绍如何通过API创建MySQL Database on Azure的数据库。,mysql
 通过API创建MySQL Database on Azure防火墙规则, 本文介绍如何通过API创建MySQL Database on Azure的防火墙规则。,mysql
 通过API创建MySQL Database on Azure数据库访问权限, 本文介绍如何通过API创建MySQL Database on Azure的数据库访问权限。,mysql
 通过API创建MySQL Database on Azure服务器, 本文介绍如何通过API创建MySQL Database on Azure的服务器。,mysql
 通过API创建MySQL Database on Azure用户及密码, 本文介绍如何通过API创建MySQL Database on Azure的用户及密码。,mysql
 通过API删除MySQL Database on Azure备份文件, 本文介绍如何通过API删除MySQL Database on Azure的备份文件。,mysql
 通过API删除MySQL Database on Azure数据库, 本文介绍如何通过API删除MySQL Database on Azure的数据库。,mysql
 通过API删除MySQL Database on Azure防火墙规则, 本文介绍如何通过API删除MySQL Database on Azure的防火墙规则。,mysql
 通过API删除MySQL Database on Azure服务器, 本文介绍如何通过API删除MySQL Database on Azure的服务器。,mysql
 通过API删除MySQL Database on Azure用户, 本文介绍如何通过API删除MySQL Database on Azure的用户。,mysql
 通过API查看MySQL Database on Azure数据库信息, 本文介绍如何通过API查看MySQL Database on Azure的数据库信息。,mysql
 通过API查看MySQL Database on Azure防火墙规则, 本文介绍如何通过API查看MySQL Database on Azure的防火墙规则。,mysql
 通过API查看MySQL Database on Azure数据库访问权限, 本文介绍如何通过API查看MySQL Database on Azure的数据库访问权限。,mysql
 通过API查看MySQL Database on Azure服务器状态, 本文介绍如何通过API查看MySQL Database on Azure的服务器状态。,mysql
 通过API查看MySQL Database on Azure服务器列表, 本文介绍如何通过API查看MySQL Database on Azure的服务器列表。,mysql
 通过API开启MySQL Database on Azure慢查询日志, 本文介绍如何通过API开启MySQL Database on Azure的慢查询日志。,mysql
 通过API更改MySQL Database on Azure数据库访问权限, 本文介绍如何通过API更改MySQL Database on Azure的数据库访问权限。,mysql
 通过API更改MySQL Database on Azure数据库配置, 本文介绍如何通过API更改MySQL Database on Azure的数据库配置。,mysql
 通过API更改MySQL Database on Azure防火墙规则, 本文介绍如何通过API更改MySQL Database on Azure的防火墙规则。,mysql
 通过API更改MySQL Database on Azure每日备份时间, 本文介绍如何通过API更改MySQL Database on Azure的每日备份时间。,mysql
 使用Azure资源管理器模板部署MySQL PaaS, 本文介绍如何通过Azure资源管理器模板（ARM Template）快速部署MySQL PaaS以及其它热门应用。,mysql
 MySQL Database on Azure业务连续性方案, 本文提供三种灾难恢复方案，保障用户的业务连续性。,mysql
 使用PowerShell管理MySQL Database on Azure, 本文介绍如何通过PowerShell实现更多MySQL Database on Azure的查询、创建、修改、删除等操作。,mysql
 MySQL Database on Azure客户端兼容性问题," 针对用户在使用MySQL Database on Azure中遇到的一些常见技术问题,提供快速解答。如果您仍存有疑问,欢迎联系技术支持。",mysql
 如何高效连接到MySQL Database on Azure, 本文介绍如何使用连接池高效连接MySQL Database on Azure。,mysql
 MySQL Database on Azure客户端连接问题," 针对用户在使用MySQL Database on Azure中遇到的一些常见技术问题,提供快速解答。如果您仍存有疑问,欢迎联系技术支持。",mysql
 如何配置数据同步复制到MySQL Database on Azure, 帮助您了解如何通过数据同步功能将本地MySQL实例复制到云端。,mysql
 如何启用MySQL Database on Azure的可读备用库, 本文介绍了MySQL PasS可读备用库的实现方法。,mysql
 利用Azure资源管理器与PowerShell来部署使用MySQL Database on Azure, 本文介绍了如何利用Azure资源管理器和PowerShell工具快速部署实现MySQL Database on Azure。,mysql
 MySQL Database on Azure快速入门指南, 快速入门指南帮助您迅速了解MySQL Database on Azure，让您几分钟内轻松创建、连接、迁移、监控管理您的MySQL数据库。您根据入门指南中的步骤操作，将成功建立使用属于您的MySQL数据库。,mysql
 使用MySQL Database on Azure部署Joomla!应用, 本文详细解释了如何使用MySQL PaaS服务部署Joomla!应用的相关步骤。,mysql
 迁移数据库至MySQL Database on Azure, 本文详细解释了如何迁移您的数据库至MySQL Database on Azure。,mysql
 MySQL Database on Azure如何将MP服务层降级到MS服务层, 本文详细解释了如何将MySQL Database on Azure上的MP服务层（MP1或MP2）降级至MS服务层（MS1 - MS6）。,mysql
 MySQL Database on Azure服务限制, 帮助您了解MySQL Database on Azure目前存在的服务限制。,mysql
 监控MySQL Database on Azure核心性能指标, MySQL Database on Azure为用户提供核心性能指标的监控，您可以通过Azure管理门户的仪表盘进行查看。,mysql
 了解MySQL Database on Azure服务层和版本, 针对服务层和不同版本的性能介绍，为您选择MySQL Database on Azure提供了详细的参考。我们按照ASDB基准，提供了不同版本的测试数据供您参考。,mysql
 MySQL Database on Azure备份和恢复, 本文解释MySQL Database on Azure的备份和恢复功能。,mysql
 MySQL Database on Azure主从复制和只读实例, 本文介绍了MySQL PasS主从复制和只读实例的实现方法。,mysql
 MySQL Database on Azure主从复制问题," 针对用户在使用MySQL Database on Azure中遇到的一些常见技术问题,提供快速解答。如果您仍存有疑问,欢迎联系技术支持。",mysql
 MySQL Database on Azure安全性问题," 针对用户在使用MySQL Database on Azure中遇到的一些常见技术问题,提供快速解答。如果您仍存有疑问,欢迎联系技术支持。",mysql
 如何确定工作负荷所需的MySQL Database on Azure服务层, 本文介绍MySQL Database on Azure中计算单元的概念，以及根据计算单元选择服务层的对应关系。,mysql
 MySQL Database on Azure服务咨询," 针对用户在使用MySQL Database on Azure中遇到的一些常见技术问题,提供快速解答。如果您仍存有疑问,欢迎联系技术支持。",mysql
 如何使用SSL访问MySQL Database on Azure,  通过SSL加密访问数据库，可以保障您访问的安全性，本文介绍如何下载并配置SSL证书。目前MySQL Database on Azure支持利用公钥在服务器端进行加密验证。,mysql
 MySQL Database on Azure常见技术问题与解答," 针对用户在使用MySQL Database on Azure中遇到的一些常见技术问题,提供快速解答。如果您仍存有疑问,欢迎联系技术支持。",mysql
 MySQL Database on Azure服务概述, MySQL Database on Azure服务概述列举了MySQL Database on Azure云数据库服务的各项特性与优势。,mysql
 MySQL Database on Azure时区配置, 本文介绍了如何在MySQL Database on Azure上配置时区。,mysql
 MySQL Database on Azure如何在客户端配置验证机制确认长连接有效性," 针对用户在使用MySQL Database on Azure中遇到的一些常见技术问题,提供快速解答。如果您仍存有疑问,欢迎联系技术支持。",mysql
 如何使用MySQL Database on Azure来配置WordPress Web应用, WordPress是一种使用非常广泛的CMS系统。本文介绍如何使用MySQL Database on Azure和Azure Web应用来安装配置WordPress。,mysql
