question,answer,category,source
什么是 Azure？,"Azure 是一个灵活而开放的云平台，通过该平台，您可以在数据中心快速生成、部署和管理应用程序。Azure 支持所有主流操作系统、语言或开发工具，并且能够将公有云应用程序与现有 IT 基础设施相集成。

Azure 提供国际水准的服务级别协议，使您能够构建和运行高度可用的应用程序，而不必将精力放在基础结构上。它提供了操作系统和服务自动修补功能以及内置的网络负载平衡和硬件故障恢复能力。它支持允许您在不停机的情况下升级应用程序的部署模型。

Azure 使您能够使用任何语言、框架或工具来生成应用程序。使用开放式 REST 协议公开功能和服务。Azure 客户端库适用于多种编程语言，根据开放源许可发布并承载于 GitHub 上 。

Azure 提供了一个灵活的云平台，可满足任何应用程序需求。",一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-1
Azure 服务在中国的定价如何？,,一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-2
中国版 Azure 和其它地区的 Azure 服务是否相同？,"在中国，<a id=""support_faq_wa"" href=""//www.azure.cn/"">Azure</a>由北京世纪互联宽带数据中心有限公司的全资子公司上海蓝云网络科技有限公司（简称为“世纪互联”）运营。世纪互联是中国最大的电信中立第三方互联网基础设施服务提供商，微软将技术授权给世纪互联。在中国，Azure 结合了微软的全球技术和世纪互联的本地运营经验，强强联手，为中国打造了一个企业级的国际化云计 算平台。

在中国以外的地区，<a id=""support_faq_mic"" href=""//azure.microsoft.com/"">Microsoft Azure 由微软自行运营</a>。中国的 Azure 客户将能享受到与其它地区的客户完全相同的用户体验和服务等级。",一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-3
什么是服务级别协议 SLA（Service Level Agreement）？ Azure 在中国提供何种 SLA？,"我们对每一项正式商用的 Azure 服务提供国际水准的服务级别协议。如果未达到相应服务级别，客户可以获得对应的的服务费抵扣。Azure 在中国提供的 SLA 详见：<a id=""FAQ-2"" href=""/support/legal/sla/"" class=""single-link"">服务级别协议</a>。",一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-4
Azure 在中国的成功案例有哪些？,"在中国，光明网、蓝港在线、春秋航空、摩拜单车、神州数码、可口可乐、金蝶软件、PPTV、蓝汛通信、观致汽车等大批企业登陆中国地区的 Azure 平台，请访问<a id=""FAQ-3"" href=""/partnerancasestudy/case-studies/"">成功案例</a>页面浏览这些案例信息。",一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-5
虚拟机是如何计费的？为什么我的虚拟机已经关闭了但还是会产生费用？,"虚拟机的计费分为两部分：虚拟机本身的费用以及磁盘产生的费用（分为托管磁盘与非托管磁盘），所以只要您的虚拟机及磁盘没有被删除，那么磁盘存储的这部分费用是一直存在的，具体费用标准请参考<a href=""/pricing/details/storage/"">磁盘存储价格详情</a>。

另外，需要注意虚拟机“已停止”与“已停止（已取消分配）”两种状态，费用也是不一样的，请参考下表：",一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-6
如何选择 Azure 计算服务：Web 应用（Web Apps），云服务（Cloud Services）和虚机（Virtual Machines)？如果我是一个企业级的用户，面对这三种不同的计算能力，我应该选择哪一种服务，将现有的企业应用迁移到Azure云计算平台上呢？,您可以根据以下特点，选择适合需求的服务：,一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-7
中国地区的 Azure 服务如何保证用户的数据和服务安全性？ ,"云服务的安全性和稳定性一直是业界关注的焦点。作为首个落地中国市场的国际公有云服务，由世纪互联运营的 Microsoft Azure 已经获得众多中国行业用户的认可，为广大用户带来可靠、灵活、高价值的公有云服务。

在完全符合中国政策和法规之下，中国地区的 Azure 数据服务提供分布在 2 个数据中心的（中国北部和中国东部）多达 6 个异地备份，再加上提供给企业客户在线服务方面的数十年的经验应用于 Azure 平台，我们将努力在安全性、隐私与管控和合规性实践方面保持业界领先地位。

想了解更多详情，请参阅 Azure <a id=""support_faq7_tru"" href=""//www.trustcenter.cn/zh-cn/"">信任中心</a>的<a id=""support_faq7_sec"" href=""//www.trustcenter.cn/zh-cn/security/"">数据安全</a>，<a id=""support_faq7_pri"" href=""//www.trustcenter.cn/zh-cn/privacy/"">隐私</a>及<a id=""support_faq7_faq"" href=""//www.trustcenter.cn/zh-cn/resources/FAQ.html"">常见问题</a>页面。",一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-8
我有一个 MSDN 的订阅，当我为我的账户启用 “Azure Benefit“ 的同时 ，这个服务在 Azure 中国也能使用么？,,一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-9
Azure 在中国是否支持开源软件？,"Azure 支持大量开源应用程序、框架和语言，并且数量仍在不断增加。我们清楚开发人员希望使用最适合自身经验、技能和应用程序需求的工具，而我们的目标就是让开发 人员能够随意选择自己需要的工具。

关于开放源代码，请参阅<a id=""FAQ-8"" href=""//github.com/Azure?utf8=%E2%9C%93&q=azure-sdk&type=&language="">Microsoft Azure SDK</a>。",一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-10
微软在由世纪互联运营的 Microsoft Azure 中扮演何种角色？,"中国区的 Microsoft Azure 是由世纪互联在中国大陆独立运营和销售的公有云平台。源于微软应用于全球企业客户数十年的丰富在线服务经验而开发的世界一流的 Azure 技术, 全面服务于中国的客户。确保为客户提供全球一致的服务质量保障。",一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-11
哪里可以找到新功能的详细信息？,"您可以通过<a href=""/what-is-new/"">最新公告</a>找到新功能的详细信息。",一般问题,https://www.azure.cn/zh-cn/support/faq#q-1-12
