Question,Answer,Category,Source
Redis多少钱？,Redis Cache 价格请参照[价格页面](https://www.azure.cn/pricing/details/redis-cache/),DB,Interview
数据库连不上了,"数据库故障排查可参照以下文档：*[Azure SQL 数据库](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/sql-database/aog-sql-database-connection-faq
https://docs.azure.cn/zh-cn/sql-database/sql-database-troubleshoot-common-connection-issues)；*[Azure MySQL 数据库](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/mysql/aog-mysql-connections-faq
https://docs.azure.cn/zh-cn/mysql/mysql-database-connectioninquiry)",DB,Interview
我的虚拟机重启了，怎么办？,虚拟机重启问题，可参照以下文档：*[我的 Azure VM 为何会重新启动？](https://www.azure.cn/blog/2014/04/18/windows-azure-virtual-machine-restarted-or-shutdown-with-out-any-notification)；*[Linux 启动诊断日志协助定位虚拟机启动或重启问题](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/virtual-machines/linux/aog-virtual-machines-linux-qa-via-diagnostics-log)；*[处理 Windows 虚拟机的计划维护通知](https://docs.azure.cn/zh-cn/virtual-machines/windows/maintenance-notifications),DB,Interview
虚拟机连不上了,虚拟机无法连接，可参照以下文档：*[Azure Windows 虚拟机常见导致无法远程的操作](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/virtual-machines/windows/aog-virtual-machines-windows-scenarios-unable-to-remote)；*[排查 Azure 虚拟机的远程桌面连接问题](https://docs.azure.cn/zh-cn/virtual-machines/windows/troubleshoot-rdp-connection)；*[Linux 虚拟机虚拟网卡问题导致无法连接问题](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/virtual-machines/linux/aog-virtual-machines-qa-linux-visual-network-adaper-error),DB,Interview
MySQL响应慢怎么办？,MySQL性能优化，可参照以下文档：*[优化 Azure Linux VM 上的 MySQL 性能](https://docs.azure.cn/zh-cn/virtual-machines/linux/classic/optimize-mysql)；*[如何高效连接到MySQL Database on Azure](https://docs.azure.cn/zh-cn/mysql/mysql-database-connection-pool)；*[MySQL连接问题](https://docs.azure.cn/zh-cn/mysql/mysql-database-connectioninquiry),DB,Interview
VPN中断怎么办,VPN连接问题，可参照以下文档：*[故障排除：Azure 站点到站点 VPN 间歇性断开连接](https://docs.azure.cn/zh-cn/vpn-gateway/vpn-gateway-troubleshoot-site-to-site-disconnected-intermittently)；*[虚拟网络 - 业务连续性](https://docs.azure.cn/zh-cn/virtual-network/virtual-network-disaster-recovery-guidance)；*[Azure P2S VPN 如何配置自动重连](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/vpn-gateway/aog-vpn-gateway-qa-azure-p2s-vpn-how-to-configure-auto-reconnection)；*[使用网络观察程序故障排除功能监视 VPN 网关](https://docs.azure.cn/zh-cn/network-watcher/network-watcher-monitor-with-azure-automation),DB,Interview
VPN断开怎么办,VPN连接问题，可参照以下文档：*[故障排除：Azure 站点到站点 VPN 间歇性断开连接](https://docs.azure.cn/zh-cn/vpn-gateway/vpn-gateway-troubleshoot-site-to-site-disconnected-intermittently)；*[虚拟网络 - 业务连续性](https://docs.azure.cn/zh-cn/virtual-network/virtual-network-disaster-recovery-guidance)；*[Azure P2S VPN 如何配置自动重连](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/vpn-gateway/aog-vpn-gateway-qa-azure-p2s-vpn-how-to-configure-auto-reconnection)；*[使用网络观察程序故障排除功能监视 VPN 网关](https://docs.azure.cn/zh-cn/network-watcher/network-watcher-monitor-with-azure-automation),DB,Interview
VPN连不上怎么办,VPN连接问题，可参照以下文档：*[故障排除：Azure 站点到站点 VPN 间歇性断开连接](https://docs.azure.cn/zh-cn/vpn-gateway/vpn-gateway-troubleshoot-site-to-site-disconnected-intermittently)；*[虚拟网络 - 业务连续性](https://docs.azure.cn/zh-cn/virtual-network/virtual-network-disaster-recovery-guidance)；*[Azure P2S VPN 如何配置自动重连](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/vpn-gateway/aog-vpn-gateway-qa-azure-p2s-vpn-how-to-configure-auto-reconnection)；*[使用网络观察程序故障排除功能监视 VPN 网关](https://docs.azure.cn/zh-cn/network-watcher/network-watcher-monitor-with-azure-automation),Net,Interview
负载均衡器和应用程序网关的区别,应用程序网关是第 7 层负载均衡器，这意味着，它只处理 Web 流量 (HTTP/HTTPS/WebSocket)。 它支持 SSL 终止、基于 Cookie 的会话相关性以及对流量进行负载均衡的轮循机制等功能。 负载均衡器在第 4 层对流量进行负载均衡 (TCP/UDP)。关于负载均衡，可参照以下文档[Azure 负载均衡器概述](https://docs.azure.cn/zh-cn/load-balancer/load-balancer-overview),Net,Interview
P2S证书怎么做,P2S证书问题，可参照以下文档：[为点到站点 Azure 证书身份验证连接安装客户端证书](https://docs.azure.cn/zh-cn/vpn-gateway/point-to-site-how-to-vpn-client-install-azure-cert),Net,Interview
如何创建P2S证书,P2S证书问题，可参照以下文档：[为点到站点 Azure 证书身份验证连接安装客户端证书](https://docs.azure.cn/zh-cn/vpn-gateway/point-to-site-how-to-vpn-client-install-azure-cert),Net,Interview
S2S支持哪些设备,S2S兼容性问题，可参照以下文档：[关于用于站点到站点 VPN 网关连接的 VPN 设备和 IPsec/IKE 参数](https://docs.azure.cn/zh-cn/vpn-gateway/vpn-gateway-about-vpn-devices),Net,Interview
站点到站点VPN连接兼容的VPN设备,S2S兼容性问题，可参照以下文档：[关于用于站点到站点 VPN 网关连接的 VPN 设备和 IPsec/IKE 参数](https://docs.azure.cn/zh-cn/vpn-gateway/vpn-gateway-about-vpn-devices),Net,Interview
Network watcher能干嘛,网络观察程序能够监视、诊断并深入了解网络性能和运行状况，详情参照[网络观察程序](https://www.azure.cn/home/features/network-watcher/),Net,Interview
虚拟机无法连接,虚拟机无法连接，可参照以下文档：*[Azure Windows 虚拟机常见导致无法远程的操作](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/virtual-machines/windows/aog-virtual-machines-windows-scenarios-unable-to-remote)；*[排查 Azure 虚拟机的远程桌面连接问题](https://docs.azure.cn/zh-cn/virtual-machines/windows/troubleshoot-rdp-connection)；*[Linux 虚拟机虚拟网卡问题导致无法连接问题](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/virtual-machines/linux/aog-virtual-machines-qa-linux-visual-network-adaper-error),VM,Interview
我的虚拟机为什么被重启了,虚拟机重启问题，可参照以下文档：*[我的 Azure VM 为何会重新启动？](https://www.azure.cn/blog/2014/04/18/windows-azure-virtual-machine-restarted-or-shutdown-with-out-any-notification)；*[Linux 启动诊断日志协助定位虚拟机启动或重启问题](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/virtual-machines/linux/aog-virtual-machines-linux-qa-via-diagnostics-log)；*[处理 Windows 虚拟机的计划维护通知](https://docs.azure.cn/zh-cn/virtual-machines/windows/maintenance-notifications),VM,Interview
如何将SAS加入到密钥保管库,Azure Key Vault 允许保管库/对象所有者创建 SAS，可参照以下文档：[Azure Key Vault 存储帐户密钥](https://docs.azure.cn/zh-cn/key-vault/key-vault-ovw-storage-keys),VM,Interview
如何将共享访问签名加入到密钥保管库,Azure Key Vault 允许保管库/对象所有者创建 SAS，可参照以下文档：[Azure Key Vault 存储帐户密钥](https://docs.azure.cn/zh-cn/key-vault/key-vault-ovw-storage-keys),VM,Interview
企业客户（EA客户）门槛15万是否含税?,企业客户（EA客户）门槛15万不含税。,T0,Interview
