fileName,title,description,ms.service,realPath,fileLocation,URL
architecture-overview, Azure 上的应用程序体系结构 | Azure, 包括常见设计模式的体系结构概述, multiple,mc-docs-pr.zh-cn\articles\architecture-overview.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\architecture-overview.md,https://docs.azure.cn/zh-cn/architecture-overview
azure-api-management-certs, 上载 Azure Management API 证书 | Azure, 了解如何为 Azure 经典管理门户上载 Management API 证书。, na,mc-docs-pr.zh-cn\articles\azure-api-management-certs.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-api-management-certs.md,https://docs.azure.cn/zh-cn/azure-api-management-certs
azure-classic-rm, 资源管理器和服务管理（经典）部署模型 | Azure, 了解资源管理器与经典部署模型之间的差异。, virtual-network,mc-docs-pr.zh-cn\articles\azure-classic-rm.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-classic-rm.md,https://docs.azure.cn/zh-cn/azure-classic-rm
azure-diagnostics-troubleshooting, Azure 诊断故障排除 | Azure, 排查在 Azure 虚拟机、Service Fabric 或云服务中使用 Azure 诊断时遇到的问题。, monitoring-and-diagnostics,mc-docs-pr.zh-cn\articles\azure-diagnostics-troubleshooting.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-diagnostics-troubleshooting.md,https://docs.azure.cn/zh-cn/azure-diagnostics-troubleshooting
azure-diagnostics, Azure 诊断概述, 使用 Azure 诊断在云服务、虚拟机和 Service Fabric 中进行调试、性能度量、监视和流量分析, multiple,mc-docs-pr.zh-cn\articles\azure-diagnostics.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-diagnostics.md,https://docs.azure.cn/zh-cn/azure-diagnostics
azure-glossary-cloud-terminology, Azure 词汇表 - Azure 字典 | Azure, 使用 Azure 词汇表来理解 Azure 平台上的云术语。这份简短的 Azure 字典提供 Azure 通用云术语的定义。, multiple,mc-docs-pr.zh-cn\articles\azure-glossary-cloud-terminology.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-glossary-cloud-terminology.md,https://docs.azure.cn/zh-cn/azure-glossary-cloud-terminology
azure-portal-overview,  Azure 门户概述, 了解如何使用 Azure 门户。, na,mc-docs-pr.zh-cn\articles\azure-portal-overview.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-portal-overview.md,https://docs.azure.cn/zh-cn/azure-portal-overview
azure-preview-portal-supported-browsers-devices, 支持的浏览器和设备, 支持的浏览器和设备, multiple,mc-docs-pr.zh-cn\articles\azure-preview-portal-supported-browsers-devices.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-preview-portal-supported-browsers-devices.md,https://docs.azure.cn/zh-cn/azure-preview-portal-supported-browsers-devices
azure-subscription-service-limits, Azure 订阅限制和配额 | Microsoft Docs, 提供常见的 Azure 订阅和服务限制、配额和约束的列表。 这包括有关如何增加限制以及最大值的信息。, billing,mc-docs-pr.zh-cn\articles\azure-subscription-service-limits.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-subscription-service-limits.md,https://docs.azure.cn/zh-cn/azure-subscription-service-limits
azure-toolkit-for-eclipse-azure-project-properties, Azure 项目属性, 介绍 Azure Toolkit for Eclipse 中的 Azure 项目属性设置。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-azure-project-properties.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-azure-project-properties.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-eclipse-azure-project-properties
azure-toolkit-for-eclipse-azure-role-properties, Azure 角色属性, 了解如何使用 Azure Toolkit for Eclipse 来配置 Azure 角色设置。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-azure-role-properties.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-azure-role-properties.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-eclipse-azure-role-properties
azure-toolkit-for-eclipse-azure-service-endpoints, Azure 服务终结点, 介绍 Azure Toolkit for Eclipse 中的 Azure 服务终结点设置。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-azure-service-endpoints.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-azure-service-endpoints.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-eclipse-azure-service-endpoints
azure-toolkit-for-eclipse-azure-storage-account-list, Azure 存储帐户列表, 使用 Azure Toolkit for Eclipse 管理存储帐户设置, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-azure-storage-account-list.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-azure-storage-account-list.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-eclipse-azure-storage-account-list
azure-toolkit-for-eclipse-creating-a-hello-world-application, 在 Eclipse 中创建 Azure 的 Hello World 云服务, 了解如何使用 Azure Toolkit for Eclipse 创建一个简单的 Hello World 应用程序。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-creating-a-hello-world-application.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-creating-a-hello-world-application.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-eclipse-creating-a-hello-world-application
azure-toolkit-for-eclipse-debugging-azure-applications, 在 Eclipse 中调试 Azure 应用程序, 了解如何使用 Azure Toolkit for Eclipse 调试 Azure 应用程序。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-debugging-azure-applications.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-debugging-azure-applications.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-eclipse-debugging-azure-applications
azure-toolkit-for-eclipse-deploying-large-deployments, 实施大型部署, 了解如何使用 Azure Toolkit for Eclipse 实施大型部署。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-deploying-large-deployments.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-deploying-large-deployments.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-eclipse-deploying-large-deployments
azure-toolkit-for-eclipse-displaying-javadoc-content-for-azure-libraries, 在 Eclipse 中显示 Azure Libraries Package for Java 的 Javadoc 内容, 如何在 Eclipse 中显示 Azure Libraries 的 Javadoc 内容。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-displaying-javadoc-content-for-azure-libraries.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-displaying-javadoc-content-for-azure-libraries.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-eclipse-displaying-javadoc-content-for-azure-libraries
azure-toolkit-for-eclipse-enable-session-affinity, 使用 Azure Toolkit for Eclipse 启用会话相关性, 了解如何使用 Azure Toolkit for Eclipse 启用会话相关性。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-enable-session-affinity.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-enable-session-affinity.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-eclipse-enable-session-affinity
azure-toolkit-for-eclipse-enabling-remote-access-for-azure-deployments, 在 Eclipse 中为 Azure 部署启用远程访问, 了解如何使用 Azure Toolkit for Eclipse 为 Azure 部署启用远程访问。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-enabling-remote-access-for-azure-deployments.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-enabling-remote-access-for-azure-deployments.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-eclipse-enabling-remote-access-for-azure-deployments
azure-toolkit-for-eclipse-installation, 安装 Azure Toolkit for Eclipse | Azure, 了解如何安装 Azure Toolkit for Eclipse。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-installation.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-installation.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-eclipse-installation
azure-toolkit-for-eclipse-whats-new, Azure Toolkit for Eclipse 的新增功能, 了解 Azure Toolkit for Eclipse 中的最新功能。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-whats-new.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse-whats-new.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-eclipse-whats-new
azure-toolkit-for-eclipse, Azure Toolkit for Eclipse | Azure, 了解 Azure Toolkit for Eclipse。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-eclipse.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-eclipse
azure-toolkit-for-intellij-installation, 安装 Azure Toolkit for IntelliJ | Azure, 了解如何安装 Azure Toolkit for IntelliJ IDEA。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-intellij-installation.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-intellij-installation.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-intellij-installation
azure-toolkit-for-intellij-whats-new, 适用于 IntelliJ 的 Azure 工具包的新增功能 | Azure, 了解 Azure Toolkit for IntelliJ 中的最新功能。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-intellij-whats-new.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-intellij-whats-new.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-intellij-whats-new
azure-toolkit-for-intellij, Azure Toolkit for IntelliJ | Azure, 了解 Azure Toolkit for IntelliJ。, multiple,mc-docs-pr.zh-cn\articles\azure-toolkit-for-intellij.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\azure-toolkit-for-intellij.md,https://docs.azure.cn/zh-cn/azure-toolkit-for-intellij
best-practices-availability-checklist, 可用性清单 | Azure, 为设计过程中的可用性考虑因素提供指导的核对清单。, best-practice,mc-docs-pr.zh-cn\articles\best-practices-availability-checklist.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\best-practices-availability-checklist.md,https://docs.azure.cn/zh-cn/best-practices-availability-checklist
best-practices-caching, 缓存指南 | Azure, 有关配置缓存以提高性能和可缩放性的指南。, best-practice,mc-docs-pr.zh-cn\articles\best-practices-caching.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\best-practices-caching.md,https://docs.azure.cn/zh-cn/best-practices-caching
best-practices-data-partitioning, 数据分区指南 | Azure, 有关如何隔离分区，以便单独进行管理和访问的指导。, best-practice,mc-docs-pr.zh-cn\articles\best-practices-data-partitioning.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\best-practices-data-partitioning.md,https://docs.azure.cn/zh-cn/best-practices-data-partitioning
best-practices-monitoring, 监视和诊断指南 | Azure, 有关在云中监视分布式应用程序的最佳实践。, best-practice,mc-docs-pr.zh-cn\articles\best-practices-monitoring.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\best-practices-monitoring.md,https://docs.azure.cn/zh-cn/best-practices-monitoring
best-practices-scalability-checklist, 可缩放性清单 | Azure, Azure 自动缩放设计注意事项：可伸缩性清单指南。, best-practice,mc-docs-pr.zh-cn\articles\best-practices-scalability-checklist.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\best-practices-scalability-checklist.md,https://docs.azure.cn/zh-cn/best-practices-scalability-checklist
billing-understand-your-bill, 了解你的帐单 | Azure, 了解如何阅读并理解 Azure 订阅的使用情况和计费, billing,mc-docs-pr.zh-cn\articles\billing-understand-your-bill.md,D:\GitHub\acnContent\mc-docs-pr.zh-cn\articles\billing-understand-your-bill.md,https://docs.azure.cn/zh-cn/billing-understand-your-bill
